"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02"
"United States",206600,206500,206100,205600,205300,205100,205000,205300,205900,206800,207700,208700,209400,210200,211100,212200,213200,214300,215400,216400,217300,218500,219900,220900,221200,221500,222900,225000,226700,227900,229100,230400,231800,233300,234800,236500,238000,239700,241400,242600,243700,245000,246500,248200,249800,251600,253600,255400,257100,259000,260800,262300,263900,265400,266900,268500,270500,272700,274600,276400,278300,280000,281600,283200,285000,286700,288200,289500,291100,292800,294600,296600,298900,300800,302500,304800,307300,309600,312100,314500,316700,318800,321000,323000,325200,327600,330000,332200,334600,337200,340100,343200,346500,349500,352800,356700,360900,365300,369800,374300,378700,383300,387800,392100,396200,400100,404200,408900,413600,418200,422800,427600,432000,436100,440100,443800,446900,449600,452300,455000,457500,459700,461800,463300,464300,464600,464700,464600,464800,465300,465800,466000,466100,465500,464300,462600,460500,457900,454900,451400,447200,443700,439200,433300,427200,422600,417800,413200,409200,405700,402400,399400,396600,393800,391100,388200,385100,381600,378300,375700,373900,372600,371700,371100,370800,370300,369700,369000,367900,366700,365600,364100,362400,360900,359200,357600,356000,354300,352900,351800,350200,348600,347500,346500,345500,344600,344000,343600,343700,343800,344000,344300,345400,346900,348500,349700,350800,351900,353200,354400,355600,357000,359100,361500,364200,367500,371500,375400,379000,382200,385100,387800,390500,392600,394100,397500,402500,406200,407500,408300,409100,410100,411200,412500,413800,415200,416700
"New York, NY",276400,276100,276200,276400,276100,275700,272300,267600,266000,269000,272500,274900,276200,277000,277800,278600,279500,280200,281100,283000,284900,286300,288300,290600,292400,294100,295800,297600,299500,301600,304600,308000,310500,312700,315500,318200,320700,323500,326800,330400,334100,337700,341400,345500,350100,354600,358100,361600,365700,370600,375100,378800,382000,385800,390500,395400,400100,404800,409000,411700,414000,416900,421000,425900,430800,435900,441000,445000,447800,450400,454500,460300,466500,472600,478300,483300,488700,494100,499300,505100,511400,517900,524800,531000,536500,541400,545800,550600,556300,561300,565800,570700,575600,579500,583100,587100,592000,597100,601900,607200,613500,620300,627600,635300,642800,649700,656500,664300,672300,679300,686100,692500,697600,702500,707600,711900,716000,719600,721300,722200,723500,724600,725000,725000,724000,722200,719900,717400,714500,712000,710600,710300,710500,711100,711200,710800,709700,707100,703700,701400,699700,698200,696500,693800,689800,685400,680700,676100,671400,667700,665400,661900,658500,657600,656000,651700,647100,643900,641700,639700,638300,638000,637900,637600,636900,635500,634400,633900,632600,631400,631200,631100,630500,629800,628600,627000,625200,622700,620800,618700,614100,609500,607400,606300,605000,603800,602100,601100,600100,598800,597700,596600,593500,590900,590700,591700,592100,592700,593000,593500,594300,594700,595100,595300,594200,595100,599000,603500,606200,609500,613700,618100,623100,629100,632500,636400,653900,669800,669500,665300,668800,669800,669900,670600,671500,672300,672900
"Los Angeles, CA",326900,326100,325100,323500,321400,319500,319100,319900,322100,324700,326800,327900,329200,330900,333000,335500,337800,339700,341500,344100,347700,352100,356100,361500,367900,373600,375800,376900,378900,382200,385600,390000,393700,395500,397600,400300,402000,404100,408500,413100,416300,419100,421900,425300,429000,432000,434300,437200,439200,440200,441100,443000,446400,450900,455100,458200,461400,466000,470800,474900,478000,479400,480000,482400,485800,489100,493000,497700,502400,507600,512400,516100,520800,527400,535400,543500,552100,560500,568400,575800,583800,592500,602000,610900,619700,628800,638100,647300,656300,665600,675900,686800,697400,708100,719900,734000,751200,769400,786600,802300,816500,827300,835700,842600,848400,853900,861600,870500,879500,889800,901400,912700,923500,934900,946100,956100,964400,971400,977500,983500,987000,988500,990000,990400,988400,986800,985800,983900,979400,976100,974700,972400,969800,967600,962600,955800,949300,941000,931300,921300,912800,904400,894400,881200,866800,853400,841800,830700,820500,812000,805400,799900,796300,793000,788000,782300,777700,773500,770900,771100,773100,775100,776600,778900,782000,783200,783100,783300,782500,779500,776600,773900,771100,767500,764300,761400,758300,753900,749400,745400,742300,739200,735300,731800,729700,728600,726400,724500,723600,724200,725600,727200,729100,732600,737100,742500,747900,753600,759600,765600,772100,781700,793100,806200,819500,831700,842000,850200,856400,862500,870200,878500,884600,888800,892900,900900,910300,916500,918500,919900,921200,923000,926400,930900,935300,940600,946300
"Chicago, IL",256500,255800,255500,255700,255800,255800,255900,256200,256000,256200,256700,257300,258100,259100,259700,260300,261300,262200,262900,263900,265200,267000,269000,270800,272100,272900,273000,273200,274100,275100,276100,276900,278300,280500,282500,284100,285900,287800,289600,291100,292600,294600,297000,299600,302600,305800,308400,310600,312800,314900,316800,318600,320500,322500,324600,326300,329100,333000,336200,338000,340000,342200,344200,346100,348200,350300,352200,354000,356100,358600,360800,362500,363900,365100,366300,367700,369300,371300,373400,375800,378900,382200,384800,386700,388600,391300,395300,399200,401600,403000,403900,404500,406900,409800,412200,414200,416800,419000,421700,424600,427500,430300,433200,437800,435300,427400,424300,427900,429800,432000,434400,436500,438200,440200,442600,444800,447100,450100,452400,453900,456200,458300,459000,459800,461200,462200,462600,463000,464400,466700,468300,469000,469700,469900,469400,468600,467100,464600,461700,459200,457500,456000,453800,450600,447800,445700,442900,439500,437200,435700,433900,430200,428000,427800,426700,423600,420700,417900,415400,413900,412600,411700,411400,411400,410900,410500,408900,406500,404100,401700,399400,397000,394400,391700,389200,387200,385300,382300,379900,378000,375300,372200,369500,366900,364800,363100,361800,360800,359800,358900,357900,356800,356100,356300,356800,357100,357200,357100,357000,356500,356000,356400,357600,358400,359300,361100,364200,367700,370700,373600,376500,378600,381100,383800,385600,388000,391400,393300,393800,394800,395400,395300,395100,394900,394800,394800,394500
"Dallas-Fort Worth, TX",218800,223100,226600,229600,232600,232500,233700,233800,230700,228900,230100,230900,232600,234600,236100,237600,239100,240500,241100,242100,243800,245500,246500,247200,247000,246600,246400,246800,247600,248200,248100,248700,250100,251400,252400,253800,254600,255300,256400,257400,258100,259200,260600,262300,264600,266300,266900,267200,266800,266500,266000,264900,263600,263500,263500,263500,264100,265000,267500,271800,275300,276900,278100,278800,279400,280500,282100,283700,285100,286400,286900,286600,286400,287000,287900,288900,289700,290100,291200,291900,291400,290700,290400,290100,289700,289400,289300,289800,290500,291100,291100,291200,291900,293400,295400,298400,301100,302900,304400,306400,308600,310400,312000,313300,314800,316500,317700,318500,319700,320900,321700,322700,324100,325400,326500,327600,328900,330300,331600,332800,334000,336000,338100,339600,340600,341900,342800,343600,344600,345900,347000,348000,349000,350000,351000,352000,352700,353500,354400,355600,356200,355100,352700,350000,347500,345600,343900,342100,340200,338400,336700,335200,333700,332600,331600,330300,328700,326900,325300,324600,324200,323900,323900,323900,324000,323900,323700,323700,323700,323500,323100,322600,322200,321600,320900,320000,319300,318800,319100,319400,319000,318300,317600,316600,316100,316200,316300,316000,316000,316500,317200,318100,318900,320100,321500,322100,322600,323600,324800,326000,327300,328600,330300,332700,335400,338000,340700,343600,346200,348300,349600,350400,351700,353200,353600,355100,359700,364800,368200,370900,373300,374700,376700,379900,382300,384900,387900
"Philadelphia, PA",217500,216700,216300,215700,215000,214500,214100,213700,213700,214100,214700,215300,215500,215400,215500,216000,216200,216600,217600,218600,219600,220800,222500,224200,225200,225900,226400,226900,226800,226800,227300,228300,229400,230800,232100,233300,234200,234600,235000,236500,238600,240300,241700,242700,243400,244200,245900,247800,249700,251600,253400,255100,257100,258800,260400,262500,265100,267200,268900,270600,272700,275400,278000,280400,283000,285700,287900,290000,292300,294600,296800,298900,301300,304000,306900,310200,313700,317300,320900,324500,328100,331900,335600,338800,341900,345200,348500,351500,354500,358100,362000,365500,368700,371800,375500,379300,382900,387000,391600,395900,399500,403000,406500,410000,414100,418300,421700,424700,428300,431900,435400,439200,442900,446400,450000,453300,456000,457400,458400,459500,461100,462200,463000,463300,463600,463500,462900,462000,461100,460800,461200,461500,461900,462100,462000,462100,461500,459800,458400,457800,456700,455400,453900,452800,452000,451200,449500,447600,446600,445800,444700,443300,442300,441600,441300,440800,439300,437900,436700,435200,433800,433400,433400,433400,433300,432700,431700,431100,431100,430600,429200,427900,426200,424000,421900,420300,419300,418700,418500,417700,415800,413300,411600,409900,408600,408000,407600,406400,405000,404200,403800,403200,402200,401300,401200,401300,401400,401300,401000,401100,401600,401700,401500,401500,402400,404000,406000,408500,411100,413400,415800,418200,420300,422600,424700,425900,427000,428700,430200,431000,431500,431600,431500,431500,431500,431700,432200
"Washington, DC",275900,274600,273200,272100,271300,270900,271100,271800,272800,274000,275200,275900,275700,276900,279100,280600,280800,281600,282400,283600,284800,286100,287400,288800,289700,290100,289800,289800,290600,292100,293600,295200,297100,299200,301300,303400,305300,307600,310700,314100,317600,320100,321700,323500,326500,329900,333300,336700,340400,344400,348400,352300,356200,360100,364300,368800,373400,378000,382600,387300,392200,397000,401600,406300,410900,415500,419600,422700,425300,428600,432500,436000,439900,444300,448800,453400,457900,462100,466500,471300,476400,481400,486300,491100,495500,499600,503700,508100,512900,518900,525900,533400,540700,547900,555700,565200,575100,584700,594900,606400,618000,629000,639800,651300,662600,673400,683700,694200,705100,716100,726200,735100,742600,748200,752100,755000,756900,757700,757100,755000,751700,747400,741400,734900,729000,724200,720000,716000,712400,710100,708100,706100,704600,702800,699700,695600,691300,687600,684400,680100,674500,668500,662800,657000,650600,644400,638500,632600,626800,621200,615800,610400,605900,602400,599400,596200,593300,591300,590000,589800,590700,592100,594000,596300,597900,598500,598900,599600,600800,601800,602900,604400,605800,606000,605100,603900,603400,602800,602700,603300,604000,604700,606500,608200,609700,610600,610700,610600,611100,611600,612600,614000,615800,618200,621400,624000,625200,625300,625800,626900,628400,630900,634300,638300,642500,647100,652100,657600,663000,668300,673500,679400,685000,688400,689900,690100,689100,687300,685400,683000,681400,681400,682300,683400,684700,687100,689500
"Miami-Fort Lauderdale, FL",280500,280400,279600,277300,274300,272100,271500,271200,271600,274300,277200,277200,276000,275200,275400,276400,275900,275700,278000,280600,281800,284000,285500,285500,285000,286800,288900,289800,289300,288700,288500,289800,291100,291800,293600,296900,299600,301000,300900,299500,298400,299800,302700,305000,306900,309500,311800,314700,319100,323700,326400,327300,327600,329800,333600,338500,344000,349000,352200,355400,357800,359300,362000,366800,370700,373200,376400,380400,384100,389500,399700,407700,411100,413900,419700,432100,454900,471200,470900,465700,464000,460200,454400,450800,450400,452500,456800,461100,463400,466100,471500,477300,482400,488300,495000,502400,511600,520900,528600,534300,539000,546300,558400,572500,586400,599700,612300,625300,641100,658000,673100,684900,693400,701700,712000,722700,729800,735600,741700,747600,751500,753600,754300,753600,751300,749500,750200,751600,751900,751200,749500,746100,739300,730600,721500,713100,704500,695900,686300,676300,663800,648600,632200,617800,604400,590600,576100,562900,551400,540200,527200,513000,503800,500900,497400,490500,484400,480200,476900,472900,469300,467800,469200,471000,473000,474300,475900,476800,477900,479900,482500,484400,484700,482400,478900,475700,472700,470500,469100,467600,465700,464400,463800,464300,464500,464500,463900,464300,465100,466300,468700,473300,477700,481000,483300,485700,489700,493900,497400,500300,502500,504400,507500,510700,513800,517000,520400,523300,526200,531300,538500,545400,551100,555100,556900,559300,562500,565500,568500,572100,574900,576600,578700,582300,585300,586400,586800
"Atlanta, GA",228200,228200,228500,228500,228500,228100,228200,228700,229600,230300,231100,232700,234500,235700,236100,236500,237300,238600,240000,240900,242200,244000,245400,246500,247200,247600,248600,250000,251300,253000,255200,257300,259300,260800,262800,265100,267100,268700,270700,272700,274100,274900,276000,277300,278100,279300,280900,282400,284100,286500,288600,290300,292100,294200,295700,296400,297200,298600,300100,301000,301700,302600,303700,305200,307100,308800,310200,311600,313100,314500,315700,316700,317800,318900,320000,321000,321900,322500,323000,324000,325200,326100,327000,328600,330200,331700,332700,333300,333800,334600,335800,337300,338600,339800,340800,341800,342600,343300,344400,346200,348400,350200,351900,353800,355900,357700,359700,361900,364100,366300,368300,370100,372100,374200,376500,379200,382000,384700,387100,389100,391500,393900,395800,397200,398700,399900,401000,401800,402100,401800,401400,401600,401800,401500,400700,400100,399600,398800,397800,396400,394300,392100,390100,387900,384900,381900,379300,376200,371500,366800,362100,356500,351900,349300,346700,343300,340000,337300,335100,333600,333200,333500,333600,333500,333300,333500,333900,333800,333300,333000,332400,331400,329900,328200,326700,325500,324300,322300,320300,318800,317300,315300,313600,312100,310800,309900,309500,309600,309900,309700,309100,309200,310600,312000,313200,314400,315800,316600,317200,318000,319200,320500,321900,323600,325500,328400,332100,336300,340500,344400,348100,351900,354900,356700,358300,360100,362100,364200,365800,366700,367600,368800,370300,371800,372900,374300,375900
"Boston, MA",290500,291300,292900,294900,296000,296200,296900,298100,299400,301600,304800,307400,309300,310700,311900,313300,315200,317800,320800,323900,327100,331100,335000,338700,342200,345000,347200,349800,353300,357100,360400,362700,365200,368400,371300,374100,377300,381300,385700,390400,394700,398800,403300,408300,413100,418200,424100,430200,435600,441500,448200,454800,461200,467400,473200,479200,485800,492100,497800,503500,509500,516000,522200,527700,533100,538500,543900,549300,553800,557300,560700,563900,567500,571900,576400,580500,584600,589300,594000,599000,604500,609900,613700,616100,618200,620600,622900,625400,628200,631000,633800,636900,640300,643700,648100,653000,657300,661100,665500,670200,674900,678700,681800,684900,688300,692400,696500,700600,704000,706200,707200,708200,708900,709800,710500,709500,707200,704400,702100,701400,702100,700700,697900,695000,691600,687200,683500,680700,678500,676900,676500,676600,676100,675100,673300,670800,668700,667500,666100,664900,664000,662300,659000,655300,651600,648400,645700,643600,641900,640200,638200,635300,631800,628700,625600,621800,619500,619200,619600,620700,621900,622400,623000,624500,626000,626700,627300,627700,627700,627700,627900,627500,626700,626700,626900,626700,626400,626100,626000,626100,625800,624600,623500,622400,622100,622000,622300,622600,623200,624200,625900,626800,627500,628300,630300,633700,637100,639200,640500,642800,646000,648800,651700,656400,661700,666000,670700,676100,681600,686800,690900,694800,699600,704600,708300,710900,714500,720100,725100,727200,727400,728300,730800,733700,735100,738800,744000
