Date,Open,High,Low,Close,Volume,Adj Close,Perc Change,,,,,
2015-02,4650.6001,4989.25,4580.45996,4963.52979,1985720000,4963.52979,0.070824713,,,,,
2015-01,4760.24023,4777.00977,4563.10986,4635.24023,2049163000,4635.24023,-0.021285581,,,,,
2014-12,4777.72998,4814.9502,4547.31006,4736.0498,1868304000,4736.0498,-0.01159941,,,,,
2014-11,4633.70996,4810.85986,4594.91992,4791.62988,1787715200,4791.62988,0.03474383,,,,,
2014-10,4486.6499,4641.50977,4116.6001,4630.74023,2285241300,4630.74023,0.030567141,,,,,
2014-09,4592.41992,4610.56982,4464.43994,4493.39014,1991976600,4493.39014,-0.018968288,,,,,
2014-08,4363.39014,4580.27002,4321.89014,4580.27002,1655708000,4580.27002,0.048171872,,,,,
2014-07,4424.70996,4485.93018,4351.04004,4369.77002,1900445000,4369.77002,-0.008713382,,,,,
2014-06,4247.95996,4417.45996,4207.60986,4408.18018,2004641900,4408.18018,0.03902307,,,,,
2014-05,4121.25,4252.08008,4021.05005,4242.62012,1961609000,4242.62012,0.031123634,,,,,
2014-04,4219.87012,4286.08984,3946.03003,4114.56006,2216315200,4114.56006,-0.020107256,,,,,
2014-03,4261.41992,4371.70996,4131.81006,4198.99023,2327953800,4198.99023,-0.025331209,,,,,
2014-02,4105.06006,4342.58984,3968.18994,4308.12012,2241890000,4308.12012,0.049767597,,,,,
2014-01,4160.02979,4246.5498,4044.76001,4103.87988,2263246600,4103.87988,-0.01740893,,,,,
2013-12,4065.65991,4177.72998,3979.59009,4176.58984,1835258000,4176.58984,0.02874461,,,,,
2013-11,3932.44995,4069.69995,3855.07007,4059.88989,1833598500,4059.88989,0.035762832,,,,,
2013-10,3774.17993,3966.70996,3650.03003,3919.70996,1963340800,3919.70996,0.039302868,,,,, 
2013-09,3622.63989,3798.76001,3593.62012,3771.47998,1844675000,3771.47998,0.050589535,,,,,
2013-08,3654.17993,3694.18994,3573.57007,3589.87012,1557407700,3589.87012,-0.010065161,,,,,
